county,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
"Obion County, Tennessee",30787,25009,3159,67,103,0,877,1572
"Overton County, Tennessee",22511,21332,89,66,61,0,115,848
"Perry County, Tennessee",8366,7748,199,47,26,1,53,292
"Pickett County, Tennessee",5001,4829,8,8,15,1,41,99
"Polk County, Tennessee",17544,16430,62,67,33,10,117,825
"Putnam County, Tennessee",79854,67940,2188,707,1093,52,3293,4581
"Rhea County, Tennessee",32870,28987,604,183,195,11,1126,1764
"Roane County, Tennessee",53404,48463,1303,204,342,21,402,2669
"Robertson County, Tennessee",72803,58467,5168,335,460,21,3664,4688
"Rutherford County, Tennessee",341486,226227,53977,1739,12538,254,19755,26996
"Scott County, Tennessee",21850,21051,47,37,51,0,44,620
"Sequatchie County, Tennessee",15826,14585,72,89,65,4,314,697
"Sevier County, Tennessee",98380,85656,812,454,1122,24,4288,6024
"Shelby County, Tennessee",929744,326077,477321,3334,28149,344,48800,45719
"Smith County, Tennessee",19904,18192,364,92,84,0,196,976
"Stewart County, Tennessee",13657,12463,172,78,77,2,122,743
"Sullivan County, Tennessee",158163,144395,3254,423,1278,39,1570,7204
"Sumner County, Tennessee",196281,158075,15740,711,2956,119,5321,13359
"Tipton County, Tennessee",60970,45400,10860,223,393,40,667,3387
"Trousdale County, Tennessee",11615,8883,1922,30,27,0,205,548
"Unicoi County, Tennessee",17928,16386,44,68,37,0,480,913
"Union County, Tennessee",19802,18770,53,33,38,7,191,710
"Van Buren County, Tennessee",6168,5890,22,7,10,1,10,228
"Warren County, Tennessee",40953,34794,1097,144,258,10,2155,2495
"Washington County, Tennessee",133001,113998,5623,431,2001,62,2739,8147
"Wayne County, Tennessee",16232,14595,888,23,27,3,231,465
"Weakley County, Tennessee",32902,28113,2609,70,195,3,361,1551
"White County, Tennessee",27351,25018,412,83,140,12,232,1454
"Williamson County, Tennessee",247726,203600,9876,574,12953,117,5172,15434
"Wilson County, Tennessee",147737,120782,10191,601,3106,44,3827,9186
"Anderson County, Texas",57922,34922,11577,357,392,13,7066,3595
"Andrews County, Texas",18610,10909,237,220,112,0,3278,3854
"Angelina County, Texas",86395,54887,13098,563,919,42,8588,8298
"Aransas County, Texas",23830,17996,264,245,501,17,1557,3250
"Archer County, Texas",8560,7551,32,108,19,0,301,549
"Armstrong County, Texas",1848,1646,13,17,10,0,39,123
"Atascosa County, Texas",48981,28203,425,491,206,18,7550,12088
"Austin County, Texas",30167,20164,2440,277,201,8,3103,3974
"Bailey County, Texas",6904,3348,65,86,11,0,2043,1351
"Bandera County, Texas",20851,17110,110,157,97,15,850,2512
"Bastrop County, Texas",97216,55730,5759,1268,765,74,16953,16667
"Baylor County, Texas",3465,3036,57,11,9,0,114,238
"Bee County, Texas",31047,15347,2395,212,221,4,7160,5708
"Bell County, Texas",370647,180426,85241,3454,11466,3764,32933,53363
"Bexar County, Texas",2009324,919729,161307,23193,68675,3549,308330,524541
"Blanco County, Texas",11374,9255,72,87,44,7,745,1164
"Borden County, Texas",631,576,1,1,0,0,11,42
"Bosque County, Texas",18235,14483,279,155,80,3,1312,1923
"Bowie County, Texas",92893,57482,23251,754,1094,84,4271,5957
"Brazoria County, Texas",372031,190232,55176,2739,26592,183,41976,55133
"Brazos County, Texas",233849,140206,24341,1618,14763,233,23525,29163
"Brewster County, Texas",9546,6411,198,140,94,11,793,1899
"Briscoe County, Texas",1435,1175,18,7,0,0,141,94
"Brooks County, Texas",7076,2914,25,22,29,1,770,3315
"Brown County, Texas",38095,29326,1462,232,274,27,2801,3973
"Burleson County, Texas",17642,12152,1908,138,71,0,1304,2069
"Burnet County, Texas",49130,37845,643,373,428,15,4268,5558
"Caldwell County, Texas",45883,23633,2440,499,238,27,9708,9338
"Calhoun County, Texas",20106,11356,426,116,1115,4,2435,4654
"Callahan County, Texas",13708,12154,133,80,53,7,352,929
"Cameron County, Texas",421017,162707,2076,2883,2806,149,80133,170263
"Camp County, Texas",12464,7448,1898,63,108,8,1660,1279
"Carson County, Texas",5807,5069,20,54,22,8,137,497
"Cass County, Texas",28454,21477,4541,194,120,10,569,1543
"Castro County, Texas",7371,3676,108,58,22,4,1532,1971
"Chambers County, Texas",46571,32614,3227,337,640,1,4339,5413
"Cherokee County, Texas",50412,32134,6426,464,263,18,6224,4883
"Childress County, Texas",6664,4427,582,29,51,2,957,616
"Clay County, Texas",10218,9178,39,94,50,0,193,664
"Cochran County, Texas",2547,1448,71,11,4,0,580,433
"Coke County, Texas",3285,2721,7,30,1,6,174,346
"Coleman County, Texas",7684,6582,151,65,32,0,334,520
"Collin County, Texas",1064465,578412,110284,7490,189209,719,60156,118195
"Collingsworth County, Texas",2652,1928,121,37,9,1,269,287
"Colorado County, Texas",20557,13169,2335,100,83,0,2559,2311
"Comal County, Texas",161501,118292,3880,1135,1974,167,10023,26030
"Comanche County, Texas",13594,10295,48,116,38,3,1421,1673
"Concho County, Texas",3303,2518,82,19,23,1,341,319
"Cooke County, Texas",41668,31641,1233,550,314,20,3178,4732
"Coryell County, Texas",83093,50529,12356,672,1910,1093,6453,10080
"Cottle County, Texas",1380,1027,96,5,0,2,121,129
"Crane County, Texas",4675,2488,77,36,22,0,914,1138
"Crockett County, Texas",3098,1882,18,30,10,1,451,706
"Crosby County, Texas",5133,3257,151,42,12,1,881,789
"Culberson County, Texas",2188,1014,21,25,28,0,509,591
"Dallam County, Texas",7115,3879,76,121,13,3,1331,1692
"Dallas County, Texas",2613539,924283,574183,31453,183124,1716,477660,421120
"Dawson County, Texas",12456,7609,899,100,56,4,1820,1968
"Deaf Smith County, Texas",18583,9054,174,196,63,3,4503,4590
"Delta County, Texas",5230,4317,312,48,37,5,146,365
"Denton County, Texas",906422,526363,97847,7472,93463,754,64423,116100
"DeWitt County, Texas",19824,13313,1673,114,70,7,2504,2143
"Dickens County, Texas",1770,1363,30,12,2,2,163,198
"Dimmit County, Texas",8615,3852,89,54,71,13,1531,3005
"Donley County, Texas",3258,2648,172,31,10,1,120,276
"Duval County, Texas",9831,4994,160,52,45,0,1230,3350
"Eastland County, Texas",17725,14677,356,150,104,16,963,1459
"Ector County, Texas",165171,79965,8031,1657,2339,356,34223,38600
"Edwards County, Texas",1422,961,2,9,11,1,115,323
"Ellis County, Texas",192455,118993,24305,1688,1582,218,20010,25659
"El Paso County, Texas",865657,313741,29054,10337,12073,1885,188300,310267
"Erath County, Texas",42545,32674,1247,416,353,14,3652,4189
"Falls County, Texas",16968,9870,3792,114,56,8,1781,1347
"Fannin County, Texas",35662,28249,2217,417,152,25,1989,2613
"Fayette County, Texas",24435,18286,1462,174,71,6,1923,2513
"Fisher County, Texas",3672,2921,107,30,14,2,254,344
"Floyd County, Texas",5402,3101,158,15,12,5,658,1453
"Foard County, Texas",1095,924,19,0,5,1,81,65
"Fort Bend County, Texas",822779,282222,170978,4574,182537,371,75180,106917
"Franklin County, Texas",10359,8138,399,77,68,6,708,963
"Freestone County, Texas",19435,13337,2765,146,73,14,1903,1197
"Frio County, Texas",18385,8518,719,130,199,9,5020,3790
"Gaines County, Texas",21598,15175,282,112,75,10,2180,3764
"Galveston County, Texas",350682,214512,44229,2703,12482,296,29354,47106
"Garza County, Texas",5816,4325,297,32,28,0,678,456
"Gillespie County, Texas",26725,21373,110,165,131,1,1584,3361
"Glasscock County, Texas",1116,858,8,7,0,3,90,150
"Goliad County, Texas",7012,5127,276,31,28,0,525,1025
"Gonzales County, Texas",19653,11341,1186,156,67,10,3628,3265
"Gray County, Texas",21227,14631,868,205,128,0,2668,2727
"Grayson County, Texas",135543,99852,7663,2387,1990,83,9435,14133
"Gregg County, Texas",124239,73043,25262,818,1639,55,11697,11725
"Grimes County, Texas",29268,18591,3915,242,104,15,3223,3178
"Guadalupe County, Texas",172706,103127,12805,1384,3281,419,18160,33530
"Hale County, Texas",32522,16925,1496,304,164,32,7347,6254
"Hall County, Texas",2825,1896,204,14,9,0,374,328
"Hamilton County, Texas",8222,7138,32,49,38,2,341,622
"Hansford County, Texas",5285,3248,15,33,10,3,1272,704
"Hardeman County, Texas",3549,2748,143,18,18,6,313,303
"Hardin County, Texas",56231,48005,3072,259,411,35,1033,3416
"Harris County, Texas",4731145,1720356,907063,55011,349268,4141,895151,800155
"Harrison County, Texas",68839,43925,13582,715,491,41,5089,4996
"Hartley County, Texas",5382,3746,197,30,24,5,838,542
"Haskell County, Texas",5416,4132,205,44,28,5,536,466
"Hays County, Texas",241067,147092,9881,2175,5091,189,28271,48368
"Hemphill County, Texas",3382,2372,5,29,11,0,499,466
"Henderson County, Texas",82150,64501,4790,675,526,31,4794,6833
"Hidalgo County, Texas",870781,300554,4748,6155,9048,175,196973,353128
"Hill County, Texas",35874,26070,2111,368,189,20,3400,3716
"Hockley County, Texas",21537,13760,645,227,52,4,3215,3634
"Hood County, Texas",61598,51678,523,501,476,53,2820,5547
"Hopkins County, Texas",36787,27514,2405,321,290,12,3079,3166
"Houston County, Texas",22066,13430,5195,131,138,10,1939,1223
"Howard County, Texas",34860,23664,1721,404,407,24,3770,4870
"Hudspeth County, Texas",3202,1874,16,39,10,0,622,641
"Hunt County, Texas",99956,70576,8014,1263,1016,157,7398,11532
"Hutchinson County, Texas",20617,15269,469,391,111,2,2056,2319
"Irion County, Texas",1513,1200,7,16,0,1,126,163
"Jack County, Texas",8472,6663,311,70,41,5,779,603
"Jackson County, Texas",14988,9782,1011,80,158,5,1858,2094
"Jasper County, Texas",32980,24327,5594,182,127,19,1158,1573
"Jeff Davis County, Texas",1996,1467,1,26,15,2,153,332
"Jefferson County, Texas",256526,108905,84835,1787,10080,112,28334,22473
"Jim Hogg County, Texas",4838,2333,5,31,26,5,664,1774
"Jim Wells County, Texas",38891,22187,265,264,158,16,4973,11028
"Johnson County, Texas",179927,129863,6770,1719,1812,949,16605,22209
"Jones County, Texas",19663,12902,2024,120,114,7,2974,1522
"Karnes County, Texas",14710,8215,1174,87,151,4,2460,2619
"Kaufman County, Texas",145310,87435,21948,1413,2174,82,13352,18906
"Kendall County, Texas",44279,34449,347,289,379,39,2515,6261
"Kenedy County, Texas",350,137,1,7,0,1,77,127
"Kent County, Texas",753,676,2,6,1,0,31,37
"Kerr County, Texas",52598,39702,789,338,606,50,3796,7317
"Kimble County, Texas",4286,3533,8,30,34,3,329,349
"King County, Texas",265,242,0,0,0,4,7,12
"Kinney County, Texas",3129,2012,47,33,10,2,275,750
"Kleberg County, Texas",31040,17266,1129,246,817,1,3712,7869
"Knox County, Texas",3353,2393,165,9,24,3,454,305
"Lamar County, Texas",50088,36479,6446,870,481,32,1899,3881
"Lamb County, Texas",13045,7369,453,81,11,17,2070,3044
"Lampasas County, Texas",21627,16337,741,233,252,86,1343,2635
"La Salle County, Texas",6664,3189,235,17,5,0,932,2286
"Lavaca County, Texas",20337,15821,1247,111,74,5,1163,1916
"Lee County, Texas",17478,11744,1691,99,61,2,1650,2231
"Leon County, Texas",15719,12391,945,107,111,6,997,1162
"Liberty County, Texas",91628,55857,7171,1100,499,17,16687,10297
"Limestone County, Texas",22146,14018,3726,147,162,18,2354,1721
"Lipscomb County, Texas",3059,1969,4,37,2,1,561,485
"Live Oak County, Texas",11335,8419,214,65,37,3,733,1864
"Llano County, Texas",21243,18388,105,169,133,4,770,1674
"Loving County, Texas",64,56,0,1,0,0,1,6
"Lubbock County, Texas",310639,191717,27279,3206,9701,248,35180,43308
"Lynn County, Texas",5596,3724,107,36,10,4,1058,657
"McCulloch County, Texas",7630,5821,98,38,39,1,564,1069
"McLennan County, Texas",260579,156475,37518,2511,5010,189,28193,30683
"McMullen County, Texas",600,411,3,1,3,5,25,152
"Madison County, Texas",13455,7695,2610,107,106,1,1994,942
"Marion County, Texas",9725,6968,1857,86,48,0,143,623
"Martin County, Texas",5237,3580,87,69,9,1,723,768
"Mason County, Texas",3953,3188,9,14,2,0,290,450
"Matagorda County, Texas",36255,19753,3900,318,720,7,5928,5629
"Maverick County, Texas",57887,16845,181,1163,192,18,14499,24989
"Medina County, Texas",50748,31848,1366,414,261,42,6068,10749
"Menard County, Texas",1962,1511,13,14,5,3,194,222
"Midland County, Texas",169983,98404,11049,1550,3983,191,22402,32404
"Milam County, Texas",24754,17261,2183,147,119,18,2430,2596
"Mills County, Texas",4456,3654,30,15,5,0,287,465
"Mitchell County, Texas",8990,5399,961,88,54,1,1618,869
"Montague County, Texas",19965,17066,81,194,84,4,712,1824
"Montgomery County, Texas",620443,407926,35394,6049,21830,732,63994,84518
"Moore County, Texas",21358,9445,695,419,1014,4,5396,4385
"Morris County, Texas",11973,8043,2467,86,47,9,460,861
"Motley County, Texas",1063,931,10,2,0,0,43,77
"Nacogdoches County, Texas",64653,40228,10709,414,767,12,6793,5730
"Navarro County, Texas",52624,30019,6425,473,401,734,7520,7052
"Newton County, Texas",12217,9375,2086,60,24,0,111,561
"Nolan County, Texas",14738,10235,712,108,104,5,1550,2024
"Nueces County, Texas",353178,191405,14309,2942,8135,381,44362,91644
"Ochiltree County, Texas",10015,5618,22,146,32,2,2434,1761
"Oldham County, Texas",1758,1424,35,10,11,0,118,160
"Orange County, Texas",84808,66942,8081,459,1113,19,2793,5401
"Palo Pinto County, Texas",28409,22603,582,269,214,13,2161,2567
"Panola County, Texas",22491,16637,3263,172,105,11,869,1434
"Parker County, Texas",148222,122995,1738,1229,1035,116,6759,14350
"Parmer County, Texas",9869,5572,75,171,18,4,2353,1676
"Pecos County, Texas",15193,6921,558,172,148,2,3939,3453
"Polk County, Texas",50123,36343,4924,1019,340,2,3829,3666
"Potter County, Texas",118525,61693,12561,1397,6172,41,17115,19546
"Presidio County, Texas",6131,2331,27,48,86,0,1191,2448
"Rains County, Texas",12164,10394,270,112,55,3,512,818
"Randall County, Texas",140753,105870,4992,1263,2737,60,8456,17375
"Reagan County, Texas",3385,1736,42,32,20,1,763,791
"Real County, Texas",2758,2213,28,20,13,3,155,326
"Red River County, Texas",11587,8700,1762,111,51,4,386,573
"Reeves County, Texas",14748,8073,290,101,169,3,2431,3681
"Refugio County, Texas",6741,4172,462,32,32,0,715,1328
"Roberts County, Texas",827,737,2,3,0,0,13,72
"Robertson County, Texas",16757,10502,3176,102,107,21,1574,1275
"Rockwall County, Texas",107819,74913,8398,899,3371,111,6699,13428
"Runnels County, Texas",9900,7480,146,86,24,7,955,1202
"Rusk County, Texas",52214,33865,8326,401,231,24,5115,4252
"Sabine County, Texas",9894,8426,745,51,53,0,138,481
"San Augustine County, Texas",7918,5352,1781,33,42,0,318,392
"San Jacinto County, Texas",27402,20276,2134,219,88,20,2245,2420
"San Patricio County, Texas",68755,42197,1195,544,886,87,7761,16085
"San Saba County, Texas",5730,4274,121,39,17,2,742,535
"Schleicher County, Texas",2451,1368,26,24,10,3,665,355
"Scurry County, Texas",16932,10867,637,126,83,8,2846,2365
"Shackelford County, Texas",3105,2731,23,10,18,0,128,195
"Shelby County, Texas",24022,15111,3836,139,370,14,2538,2014
"Sherman County, Texas",2782,1612,12,37,3,0,524,594
"Smith County, Texas",233479,144539,38593,1656,4188,106,21961,22436
"Somervell County, Texas",9205,7373,45,78,58,0,534,1117
"Starr County, Texas",65920,21839,66,253,111,1,12623,31027
"Stephens County, Texas",9101,7013,246,61,63,1,896,821
"Sterling County, Texas",1372,1064,3,6,1,2,120,176
"Stonewall County, Texas",1245,1032,20,10,5,0,66,112
"Sutton County, Texas",3372,1959,10,16,8,2,519,858
"Swisher County, Texas",6971,4182,438,49,12,3,1150,1137
"Tarrant County, Texas",2110640,1044549,366727,18690,129437,4551,250491,296195
"Taylor County, Texas",143208,99225,11771,1262,2924,189,10662,17175
"Terrell County, Texas",760,480,8,0,5,0,153,114
"Terry County, Texas",11831,6930,454,76,40,0,1750,2581
"Throckmorton County, Texas",1440,1294,2,5,3,0,32,104
"Titus County, Texas",31247,16188,2992,377,278,9,6421,4982
"Tom Green County, Texas",120003,78548,4544,1050,1801,175,12546,21339
"Travis County, Texas",1290188,709447,101267,12463,101038,1019,154399,210555
"Trinity County, Texas",13602,10833,1092,54,34,5,558,1026
"Tyler County, Texas",19798,15621,2059,120,100,3,938,957
"Upshur County, Texas",40892,32238,2958,340,177,13,1816,3350
"Upton County, Texas",3308,1849,74,13,5,0,380,987
"Uvalde County, Texas",24564,12584,159,133,162,8,4012,7506
"Val Verde County, Texas",47586,21218,665,337,379,47,8323,16617
"Van Zandt County, Texas",59541,49904,1542,473,275,30,2542,4775
"Victoria County, Texas",91319,53085,5729,726,1431,43,11832,18473
"Walker County, Texas",76400,42800,16638,468,1148,42,10116,5188
"Waller County, Texas",56794,26479,12256,634,809,20,9276,7320
"Ward County, Texas",11644,6567,482,122,69,2,2100,2302
"Washington County, Texas",35805,23299,5626,154,564,18,2238,3906
"Webb County, Texas",267114,102723,1166,1651,1405,53,52683,107433
"Wharton County, Texas",41570,22903,5676,294,193,1,6121,6382
"Wheeler County, Texas",4990,3748,86,57,27,2,518,552
"Wichita County, Texas",129350,86718,13887,1443,2747,181,10439,13935
"Wilbarger County, Texas",12887,8092,1062,177,571,0,1635,1350
"Willacy County, Texas",20164,8743,497,149,165,2,4410,6198
"Williamson County, Texas",609017,373264,40732,4588,54628,735,43953,91117
"Wilson County, Texas",49753,34471,776,473,254,33,4392,9354
"Winkler County, Texas",7791,4046,163,135,85,1,1801,1560
"Wise County, Texas",68632,54054,720,695,382,13,5198,7570
"Wood County, Texas",44843,36871,1693,339,230,4,2179,3527
"Yoakum County, Texas",7694,3758,63,62,50,0,1963,1798
"Young County, Texas",17867,14398,183,184,89,0,1512,1501
"Zapata County, Texas",13889,5421,18,67,16,0,2048,6319
"Zavala County, Texas",9670,4598,89,74,19,1,1563,3326
"Beaver County, Utah",7072,5904,23,104,32,22,598,389
"Box Elder County, Utah",57666,50784,178,516,455,103,2231,3399
"Cache County, Utah",133154,112842,1115,1108,2353,705,6910,8121
"Carbon County, Utah",20412,17643,61,270,65,29,692,1652
"Daggett County, Utah",935,884,4,0,2,2,2,41
"Davis County, Utah",362679,302352,4376,2503,7143,3345,14976,27984
"Duchesne County, Utah",19596,17076,21,940,63,39,577,880
"Emery County, Utah",9825,9003,4,63,40,7,210,498
"Garfield County, Utah",5083,4541,11,107,37,7,157,223
"Grand County, Utah",9669,7817,73,373,80,13,471,842
"Iron County, Utah",57289,49237,408,1091,641,244,2121,3547
"Juab County, Utah",11786,10972,18,98,34,44,170,450
"Kane County, Utah",7667,7084,31,129,61,1,51,310
"Millard County, Utah",12975,10855,15,152,142,13,1123,675
"Morgan County, Utah",12295,11691,12,43,57,3,49,440
"Piute County, Utah",1438,1291,0,6,0,0,21,120
"Rich County, Utah",2510,2359,11,3,2,4,35,96
"Salt Lake County, Utah",1185238,847970,23474,13189,51030,21742,110890,116943
"San Juan County, Utah",14518,6275,36,7278,54,53,201,621
"Sanpete County, Utah",28437,24277,224,307,171,247,1816,1395
"Sevier County, Utah",21522,19667,65,340,45,49,421,935
"Summit County, Utah",42357,35927,173,133,728,44,2456,2896
"Tooele County, Utah",72698,61011,465,726,526,651,3439,5880
"Uintah County, Utah",35620,29607,98,2432,169,97,1002,2215
"Utah County, Utah",659399,537757,4403,4602,10413,6722,36178,59324
"Wasatch County, Utah",34788,29131,157,188,361,41,2334,2576
"Washington County, Utah",180279,151777,988,2189,1866,1669,9010,12780
"Wayne County, Utah",2486,2283,1,19,16,3,36,128
"Weber County, Utah",262223,205396,3613,2735,3852,1031,21943,23653
"Addison County, Vermont",37363,33793,368,113,597,11,439,2042
"Bennington County, Vermont",37347,34183,430,70,406,5,323,1930
"Caledonia County, Vermont",30233,27656,234,100,368,17,206,1652
"Chittenden County, Vermont",168323,144237,4910,384,7243,53,1547,9949
"Essex County, Vermont",5920,5566,15,18,16,5,10,290
"Franklin County, Vermont",49946,45509,338,501,321,16,302,2959
"Grand Isle County, Vermont",7293,6724,51,45,33,0,41,399
"Lamoille County, Vermont",25945,23778,225,89,141,2,211,1499
"Orange County, Vermont",29277,26978,162,135,166,5,196,1635
"Orleans County, Vermont",27393,25464,131,198,123,1,149,1327
"Rutland County, Vermont",60572,55453,517,159,460,14,362,3607
"Washington County, Vermont",59807,54149,651,153,633,26,501,3694
"Windham County, Vermont",45905,41380,536,139,494,9,523,2824
"Windsor County, Vermont",57753,52881,466,185,548,17,437,3219
"Accomack County, Virginia",33413,20261,8670,297,255,4,2168,1758
"Albemarle County, Virginia",112395,81866,9953,286,8222,50,4101,7917
"Alleghany County, Virginia",15223,13813,681,27,61,7,58,576
"Amelia County, Virginia",13265,9780,2555,39,65,0,194,632
"Amherst County, Virginia",31307,23190,5400,251,182,27,427,1830
"Appomattox County, Virginia",16119,12258,2894,51,46,7,173,690
"Arlington County, Virginia",238643,145293,20875,1565,27443,141,17448,25878
"Augusta County, Virginia",77487,69142,3116,185,467,31,1103,3443
"Bath County, Virginia",4209,3855,116,6,17,2,19,194
"Bedford County, Virginia",79462,68743,4925,211,970,37,785,3791
"Bland County, Virginia",6270,5874,169,0,6,0,7,214
"Botetourt County, Virginia",33596,30689,918,70,234,3,351,1331
"Brunswick County, Virginia",15849,6553,8607,23,44,5,214,403
"Buchanan County, Virginia",20355,19299,618,15,51,4,20,348
"Buckingham County, Virginia",16824,10488,5435,51,59,7,139,645
"Campbell County, Virginia",55696,43320,7832,192,604,15,928,2805
"Caroline County, Virginia",30887,19215,7721,166,296,15,1072,2402
"Carroll County, Virginia",29155,27255,169,53,80,3,533,1062
"Charles City County, Virginia",6773,3028,2836,448,38,6,75,342
"Charlotte County, Virginia",11529,7717,3140,22,31,6,168,445
"Chesterfield County, Virginia",364548,216290,83107,1589,13185,246,23175,26956
"Clarke County, Virginia",14783,12481,578,51,212,15,439,1007
"Craig County, Virginia",4892,4653,13,5,11,3,22,185
"Culpeper County, Virginia",52552,36092,6567,365,776,23,4042,4687
"Cumberland County, Virginia",9675,6165,2831,43,38,8,129,461
"Dickenson County, Virginia",14124,13728,49,23,19,2,13,290
"Dinwiddie County, Virginia",27947,17516,8177,125,126,3,636,1364
"Essex County, Virginia",10599,5952,3775,83,62,3,176,548
"Fairfax County, Virginia",1150309,569013,110889,6500,235050,873,98434,129550
"Fauquier County, Virginia",72972,56660,5091,312,1229,51,3172,6457
"Floyd County, Virginia",15476,14219,244,20,51,0,251,691
"Fluvanna County, Virginia",27249,21023,3730,79,222,7,436,1752
"Franklin County, Virginia",54477,46702,3921,147,307,27,942,2431
"Frederick County, Virginia",91419,73524,3718,315,1681,41,4815,7325
"Giles County, Virginia",16787,15777,244,34,71,0,64,597
"Gloucester County, Virginia",38711,32396,2753,153,318,25,396,2670
"Goochland County, Virginia",24727,19302,3267,75,494,3,383,1203
"Grayson County, Virginia",15333,13558,904,32,24,2,247,566
"Greene County, Virginia",20552,16520,1447,33,457,6,694,1395
"Greensville County, Virginia",11391,4364,6657,30,33,0,49,258
"Halifax County, Virginia",34022,20420,11791,77,218,6,440,1070
"Hanover County, Virginia",109979,89742,9808,399,2035,33,1708,6254
"Henrico County, Virginia",334389,170651,97568,1338,32296,154,11081,21301
"Henry County, Virginia",50948,35040,11160,165,292,14,1628,2649
"Highland County, Virginia",2232,2135,2,3,6,1,12,73
"Isle of Wight County, Virginia",38606,26721,8660,166,405,32,468,2154
"James City County, Virginia",78254,57710,10028,275,2269,52,2042,5878
"King and Queen County, Virginia",6608,4490,1571,90,23,3,91,340
"King George County, Virginia",26723,19121,3983,190,417,15,512,2485
"King William County, Virginia",17810,13636,2601,288,129,11,234,911
"Lancaster County, Virginia",10919,7467,2951,24,77,1,60,339
"Lee County, Virginia",22173,20531,885,71,39,0,81,566
"Loudoun County, Virginia",420959,225974,30568,1582,89779,263,28136,44657
"Louisa County, Virginia",37596,28813,5408,158,257,18,598,2344
"Lunenburg County, Virginia",11936,7095,3805,35,26,6,347,622
"Madison County, Virginia",13837,11684,1065,16,90,1,210,771
"Mathews County, Virginia",8533,7295,660,17,52,15,65,429
"Mecklenburg County, Virginia",30319,18032,10435,75,205,0,495,1077
"Middlesex County, Virginia",10625,8411,1523,33,28,3,107,520
"Montgomery County, Virginia",99721,79436,4165,207,8347,52,1632,5882
"Nelson County, Virginia",14775,12021,1538,56,67,3,365,725
"New Kent County, Virginia",22945,18017,2739,247,223,8,288,1423
"Northampton County, Virginia",12282,7071,3785,85,82,8,549,702
"Northumberland County, Virginia",11839,8366,2690,29,69,0,195,490
"Nottoway County, Virginia",15642,8625,5813,85,64,3,343,709
"Orange County, Virginia",36254,27877,4364,192,324,19,849,2629
"Page County, Virginia",23709,22037,439,51,120,8,160,894
"Patrick County, Virginia",17608,15719,840,36,43,3,327,640
"Pittsylvania County, Virginia",60501,44672,12417,169,292,22,800,2129
"Powhatan County, Virginia",30333,25732,2505,64,169,24,268,1571
"Prince Edward County, Virginia",21849,10662,9269,36,197,1,741,943
"Prince George County, Virginia",43010,23827,12968,276,862,144,1891,3042
"Prince William County, Virginia",482204,200831,97457,3565,50314,600,66345,63092
"Pulaski County, Virginia",33800,29922,1658,69,184,3,336,1628
"Rappahannock County, Virginia",7348,6521,200,18,63,3,101,442
"Richmond County, Virginia",8923,5739,2439,16,42,0,274,413
"Roanoke County, Virginia",96929,80780,5764,243,3462,24,1490,5166
"Rockbridge County, Virginia",22650,20483,575,94,187,9,261,1041
"Rockingham County, Virginia",83757,72656,1886,291,928,20,3346,4630
"Russell County, Virginia",25781,24835,229,19,42,1,68,587
"Scott County, Virginia",21576,20617,134,31,28,4,63,699
"Shenandoah County, Virginia",44186,38166,1087,198,348,8,1715,2664
"Smyth County, Virginia",29800,27939,430,40,104,1,239,1047
"Southampton County, Virginia",17996,11080,5924,67,70,20,116,719
"Spotsylvania County, Virginia",140032,90227,22933,675,3978,127,8194,13898
"Stafford County, Virginia",156927,90269,30400,1161,6251,266,9407,19173
"Surry County, Virginia",6561,3483,2694,19,14,10,54,287
"Sussex County, Virginia",10829,4501,5781,18,12,11,93,413
"Tazewell County, Virginia",40429,37528,967,59,215,15,193,1452
"Warren County, Virginia",40727,34386,1754,185,472,15,1022,2893
"Washington County, Virginia",53935,50639,662,106,337,1,348,1842
"Westmoreland County, Virginia",18477,11941,4491,78,148,11,596,1212
"Wise County, Virginia",36130,32789,1802,55,153,11,181,1139
"Wythe County, Virginia",28290,26165,707,61,118,2,159,1078
"York County, Virginia",70045,48251,8930,258,4297,140,1482,6687
"Alexandria city, Virginia",159467,82185,31903,1004,11354,94,15750,17177
"Bristol city, Virginia",17219,14754,1051,57,162,4,103,1088
"Buena Vista city, Virginia",6641,5740,289,49,29,24,63,447
"Charlottesville city, Virginia",46553,30344,7122,164,4083,22,1235,3583
"Chesapeake city, Virginia",249422,139573,72268,1174,9057,377,6807,20166
"Colonial Heights city, Virginia",18170,12652,2915,42,579,13,542,1427
"Covington city, Virginia",5737,4585,718,23,32,5,72,302
"Danville city, Virginia",42590,17262,21879,186,514,1,1124,1624
"Emporia city, Virginia",5766,1544,3655,23,53,6,272,213
"Fairfax city, Virginia",24146,13473,1103,145,4537,10,2067,2811
"Falls Church city, Virginia",14658,10221,576,32,1499,11,582,1737
"Franklin city, Virginia",8180,3008,4639,34,81,5,79,334
"Fredericksburg city, Virginia",27982,15872,6135,180,1334,30,1754,2677
"Galax city, Virginia",6720,5233,367,33,52,1,626,408
"Hampton city, Virginia",137148,51202,67915,647,3568,241,3220,10355
"Harrisonburg city, Virginia",51814,33789,4218,297,2116,29,6029,5336
"Hopewell city, Virginia",23033,10141,9852,111,254,20,968,1687
"Lexington city, Virginia",7320,6112,459,20,281,0,123,325
"Lynchburg city, Virginia",79009,48502,21453,243,1766,41,2400,4604
"Manassas city, Virginia",42772,16717,5124,536,2729,36,11975,5655
"Manassas Park city, Virginia",17219,5535,2136,174,1835,13,5263,2263
