,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_household_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
124,"Santa Rosa, CA",28.648,5550.0,87.19999999999999,361338,40,93016,27390,68100,40002,71856,43062,138396,15954,214950,5322,108588,1980,2244,11802,498
125,"Savannah, GA",23.694,4040.0,151.3,141204,27,54609,39536,35154,23156,28378,16233,38122,4137,68299,57939,8113,0,0,2163,553
126,"Sebring, FL",8.608,210.0,12.4,62260,58,55038,4416,8394,4884,21122,6820,21046,1482,50698,2648,6258,0,0,1134,40
127,"Sioux Falls, SD",58.475,8980.0,56.699999999999996,798532,25,48893,57694,179760,82831,215936,58716,261625,15988,663621,37170,43015,12831,287,24143,1477
128,"Spartanburg, SC",24.463,3790.0,128.10000000000002,116284,43,92713,8953,29183,23716,24297,11277,27671,5033,86289,21168,2674,357,91,581,91
129,"Springfield, IL",51.856,5120.0,92.9,109194,41,91064,3576,34710,23514,20010,3846,27084,6036,94812,4092,2064,72,66,1896,156
130,"Springfield, MO",41.625,8530.0,86.69999999999999,430836,36,74161,53291,98805,71729,96852,28658,134813,11739,381878,14280,11879,2051,826,7980,203
131,"Springfield, OH",10.200000000000001,450.0,149.1,257320,37,54660,48850,25685,16010,98150,41580,75760,1370,193700,41650,6825,630,355,12480,310
132,"Sumter, SC",18.043,650.0,96.4,6668,22,37966,660,700,832,364,524,4240,176,4360,756,516,0,0,860,0
133,"Syracuse, NY",37.931,10650.0,79.39999999999999,139398,30,44751,51438,20166,16380,36600,32910,33216,10968,64080,40140,13908,1248,0,8628,426
134,"Tallahassee, FL",72.525,12300.0,57.1,1855952,34,75746,220234,470666,364630,337981,136549,545685,66647,1088248,536039,117040,3276,378,40257,4067
135,"Terre Haute, IN",14.809000000000001,930.0,60.7,158334,28,25005,38574,18570,6966,51288,28716,52752,2658,126324,15426,5736,132,0,7950,108
136,"The Villages, FL",12.127,370.0,69.6,100692,63,54288,7952,14096,6444,39368,10972,29804,1820,83916,3012,9188,1512,0,1080,164
