,istech,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other,city,state_code
269,1,"Tallahassee, FL",9.081124999999998,24640.0,12.81875,265136,34,75746,31462,67238,52090,48283,19507,77955,9521,155464,76577,16720,468,54,5751,581,Tallahassee, FL
270,0,"Terre Haute, IN",12.140290748898675,173460.0,19.11629955947137,26389,28,25005,6429,3095,1161,8548,4786,8792,443,21054,2571,956,22,0,1325,18,Terre Haute, IN
271,1,"Terre Haute, IN",6.633666666666667,3760.0,11.700000000000001,26389,28,25005,6429,3095,1161,8548,4786,8792,443,21054,2571,956,22,0,1325,18,Terre Haute, IN
272,0,"The Villages, FL",19.7153925925926,79780.0,19.907407407407405,25173,63,54288,1988,3524,1611,9842,2743,7451,455,20979,753,2297,378,0,270,41,The Villages, FL
273,1,"The Villages, FL",10.3858,1560.0,15.38,25173,63,54288,1988,3524,1611,9842,2743,7451,455,20979,753,2297,378,0,270,41,The Villages, FL
274,0,"Toledo, OH",7.432521164021165,770810.0,19.444973544973553,158077,34,41428,39546,14883,7833,54462,26724,54184,1881,86014,49387,14731,393,31,5299,341,Toledo, OH
275,1,"Toledo, OH",4.0264444444444445,19890.0,20.63888888888889,158077,34,41428,39546,14883,7833,54462,26724,54184,1881,86014,49387,14731,393,31,5299,341,Toledo, OH
276,0,"Topeka, KS",9.435062068965516,287280.0,17.77620689655172,154367,38,56677,16206,28993,17064,46730,14083,46821,1902,111665,13337,19654,930,63,6635,181,Topeka, KS
277,1,"Topeka, KS",9.964166666666666,12560.0,14.608333333333334,154367,38,56677,16206,28993,17064,46730,14083,46821,1902,111665,13337,19654,930,63,6635,181,Topeka, KS
278,0,"Trenton, NJ",8.521773770491802,599210.0,17.895737704918034,946,40,32609,264,27,16,398,137,367,1,96,633,215,0,0,1,0,Trenton, NJ
279,1,"Trenton, NJ",7.041357142857144,22730.0,13.25,946,40,32609,264,27,16,398,137,367,1,96,633,215,0,0,1,0,Trenton, NJ
280,0,"Tucson, AZ",7.03508505154639,1005740.0,17.31288659793815,525318,30,44776,96916,78312,52750,129474,84800,179892,15876,236882,22752,227408,7950,658,13128,664,Tucson, AZ
281,1,"Tucson, AZ",7.5028823529411754,47000.0,14.899999999999999,525318,30,44776,96916,78312,52750,129474,84800,179892,15876,236882,22752,227408,7950,658,13128,664,Tucson, AZ
282,0,"Tulsa, OK",6.452125581395354,1187190.0,18.68162790697675,243521,35,66567,41722,45249,23880,63791,35476,75074,6010,132177,37039,40412,9774,347,17311,451,Tulsa, OK
283,1,"Tulsa, OK",5.970555555555557,45990.0,14.105555555555558,243521,35,66567,41722,45249,23880,63791,35476,75074,6010,132177,37039,40412,9774,347,17311,451,Tulsa, OK
284,0,"Tuscaloosa, AL",10.491203846153837,273200.0,17.965769230769226,16119,40,61780,1389,1197,417,6738,2661,5094,0,13500,2094,339,27,0,87,72,Tuscaloosa, AL
285,1,"Tuscaloosa, AL",5.512416666666666,6630.0,22.84166666666667,16119,40,61780,1389,1197,417,6738,2661,5094,0,13500,2094,339,27,0,87,72,Tuscaloosa, AL
286,0,"Tyler, TX",10.32883458646616,269700.0,21.893609022556397,85875,34,57269,16541,9781,4524,23049,20577,27880,942,32784,22793,28237,285,12,720,102,Tyler, TX
287,1,"Tyler, TX",6.133000000000001,6630.0,19.78181818181818,85875,34,57269,16541,9781,4524,23049,20577,27880,942,32784,22793,28237,285,12,720,102,Tyler, TX
