,istech,area_title,tot_emp,sum_area_occupations,jobs_1000,area_name,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
213,1,"Kingston, NY",2620,54350,74,"Kingston, NY",35258,41,66847,4513,5218,4442,11212,4689,9731,1249,24504,3863,4188,30,8,1332,84
215,1,"Knoxville, TN",34390,376490,80,"Knoxville, TN",429224,36,69380,52777,94841,63887,109419,39482,121541,9643,351450,39548,17891,947,202,8632,911
217,1,"Kokomo, IN",1230,25210,16,"Kokomo, IN",75675,40,59338,10746,9310,5197,28385,9319,23499,1036,64241,5780,2452,250,21,1751,144
219,1,"Lafayette, LA",10630,189160,44,"Lafayette, LA",241571,34,75972,29217,52731,23000,70641,31707,63540,4717,160134,61003,10897,467,0,3915,438
221,1,"Lake Charles, LA",630,96990,6,"Lake Charles, LA",108327,34,62083,17575,17161,9371,32198,15814,33762,2424,57631,40907,3895,432,0,2819,219
223,1,"Lancaster, PA",12540,232360,92,"Lancaster, PA",136856,36,75627,15978,23353,14469,46423,20479,32232,4261,86530,11823,31203,168,12,2654,205
225,1,"Laredo, TX",4820,99230,36,"Laredo, TX",133757,29,48052,43317,12729,6477,36803,50506,27282,718,3483,305,128966,117,25,71,72
227,1,"Las Cruces, NM",4290,68640,34,"Las Cruces, NM",124523,30,49039,23191,23394,17592,26238,17152,40167,1878,43800,2684,73233,1109,43,1652,124
229,1,"Lawrence, KS",3290,44700,33,"Lawrence, KS",99849,27,56276,9201,27386,24894,16428,4632,26529,5510,77454,4213,6337,2291,6,3892,146
231,1,"Lawton, OK",2790,38390,26,"Lawton, OK",108068,32,67365,14093,14777,9209,34227,10504,39292,2601,58711,19457,14431,4792,546,7450,80
233,1,"Lebanon, PA",2310,47850,28,"Lebanon, PA",83315,44,65106,8804,11147,6080,35738,10925,19433,1502,64115,1641,14778,49,15,1142,73
235,1,"Lexington-Fayette, KY",19320,256740,61,"Lexington-Fayette, KY",316124,34,78831,42073,75372,55978,64808,31027,88932,11208,226860,45235,22089,686,157,8854,1035
237,1,"Lima, OH",2230,46070,38,"Lima, OH",59112,40,57675,5879,6132,4516,21800,5872,20733,539,46417,7706,2159,124,0,1952,215
239,1,"Lincoln, NE",16210,174160,56,"Lincoln, NE",287121,37,91572,30715,68619,39044,63549,20887,94979,12899,232714,11885,20396,1321,182,7450,274
241,1,"Longview, TX",5440,92730,51,"Longview, TX",106681,34,67467,14960,16017,7069,30517,15945,37124,1118,63926,20690,18923,378,64,1444,138
243,1,"Longview, WA",1500,36540,30,"Longview, WA",49913,40,58871,7387,5141,3194,14973,6039,20514,797,40813,400,5137,418,117,2218,13
245,1,"Lubbock, TX",2560,134000,9,"Lubbock, TX",272979,29,54336,33920,51880,29044,68170,39507,84297,6031,146191,19712,95084,984,196,4557,224
247,1,"Lynchburg, VA",5520,96140,39,"Lynchburg, VA",142259,37,66523,16966,28251,18373,36182,15834,43650,3539,100798,29399,4611,304,63,3355,190
249,1,"Macon, GA",1710,91370,10,"Macon, GA",176563,37,53544,37624,25076,17885,58928,26916,47848,3218,76267,88908,5272,270,31,2488,109
251,1,"Madera, CA",2060,42280,18,"Madera, CA",113441,36,97475,22108,12720,6618,25377,37099,31610,2463,31521,3117,73600,414,61,1783,482
253,1,"Madison, WI",43630,382430,113,"Madison, WI",386122,33,84386,26876,120900,83716,61168,17410,102907,23362,300693,23058,27313,739,161,10405,391
255,1,"Manchester, NH",3470,100300,31,"Manchester, NH",113432,39,91413,8097,27000,15154,29323,9730,32157,3888,97819,3678,6166,93,16,1633,139
257,1,"Manhattan, KS",2610,36640,40,"Manhattan, KS",64536,26,54790,3924,16492,14756,8629,2633,22005,3585,51100,3085,4526,293,90,1790,67
