,area_title,area_name,zipcode,state,city,population,median_age,race_asian,race_white,race_black,race_native,race_islander,race_other,race_two,race_hispanic,average_household_income,family_households_total,family_poverty_pct,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,family_poverty
81,"Anchorage, AK",ANCHORAGE,99504,Alaska,Anchorage,42161,32,4251,21416,4340,2936,1792,23,3861,3542,92815,10037,5.7,8094,4511,10919,3204,15388,2403
82,"Anchorage, AK",ANCHORAGE,99505,Alaska,Anchorage,6477,21,188,3976,564,14,29,60,362,1284,78229,1069,4.1,1444,783,1418,142,2687,265
83,"Anchorage, AK",ANCHORAGE,99506,Alaska,Anchorage,7255,23,269,4058,1015,11,139,18,539,1206,63934,2045,4.8,1414,507,1269,0,4062,348
84,"Anchorage, AK",ANCHORAGE,99507,Alaska,Anchorage,38739,34,4965,22798,1758,2505,332,25,3030,3326,110807,9549,4.0,8755,4764,8406,3099,13713,1549
85,"Anchorage, AK",ANCHORAGE,99508,Alaska,Anchorage,35564,31,3636,15517,2347,4547,2473,128,3649,3267,82589,7797,10.2,6686,3627,9211,3485,12554,3627
87,"Anchorage, AK",ANCHORAGE,99515,Alaska,Anchorage,24207,34,3126,15107,439,1106,95,33,2102,2199,124511,6201,4.9,5010,2856,6221,1670,8448,1186
88,"Anchorage, AK",ANCHORAGE,99516,Alaska,Anchorage,21544,42,778,16901,412,830,25,9,1181,1408,182016,6037,2.0,6506,5256,3016,538,6247,430
89,"Anchorage, AK",ANCHORAGE,99517,Alaska,Anchorage,17014,37,2268,10017,531,1430,270,151,1283,1064,97247,3939,4.5,3623,2501,4406,1190,5274,765
90,"Anchorage, AK",ANCHORAGE,99518,Alaska,Anchorage,10077,35,1437,5435,220,635,209,4,887,1250,101569,2257,2.4,2116,836,2640,624,3869,241
91,"Anchorage, AK",ANCHORAGE,99540,Alaska,Anchorage,289,48,0,250,0,9,0,0,30,0,94218,82,0.0,62,42,47,20,116,0
