,0,139,59,2,1,3,397,51,8,2,0,0
284,Rochester,,,,,, MN,,,,,
285,Rochester,,,,,, NY,,,,,
286,Rockford,,,,,, IL,,,,,
287,Rocky Mount,,,,,, NC,,,,,
288,Rome,,,,,, GA,,,,,
289,Sacramento,,Roseville,,Arden,Arcade, CA,,,,,
290,Saginaw,,,,,, MI,,,,,
291,St. Cloud,,,,,, MN,,,,,
292,St. George,,,,,, UT,,,,,
293,St. Joseph,,,,,, MO,KS,,,,
294,St. Louis,,,,,, MO,IL,,,,
295,Salem,,,,,, OR,,,,,
296,Salinas,,,,,, CA,,,,,
297,Salisbury,,,,,, MD,DE,,,,
298,Salt Lake City,,,,,, UT,,,,,
299,San Angelo,,,,,, TX,,,,,
300,San Antonio,New Braunfels,,,,, TX,,,,,
301,San Diego,Carlsbad,,,,, CA,,,,,
302,San Francisco,Oakland,Hayward,,,, CA,,,,,
303,San German,,,,,, PR,,,,,
304,San Jose,Sunnyvale,Santa Clara,,,, CA,,,,,
305,San Juan,Carolina,Caguas,,,, PR,,,,,
306,San Luis Obispo,Paso Robles,Arroyo Grande,,,, CA,,,,,
307,Santa Cruz,Watsonville,,,,, CA,,,,,
308,Santa Fe,,,,,, NM,,,,,
309,Santa Maria,Santa Barbara,,,,, CA,,,,,
310,Santa Rosa,,,,,, CA,,,,,
311,Savannah,,,,,, GA,,,,,
312,Scranton,,Wilkes,Barre,,Hazleton, PA,,,,,
313,Seattle,Tacoma,Bellevue,,,, WA,,,,,
314,Sebastian,Vero Beach,,,,, FL,,,,,
315,Sebring,,,,,, FL,,,,,
316,Sheboygan,,,,,, WI,,,,,
317,Sherman,Denison,,,,, TX,,,,,
318,Shreveport,Bossier City,,,,, LA,,,,,
319,Sierra Vista,Douglas,,,,, AZ,,,,,
320,Sioux City,,,,,, IA,NE,SD,,,
321,Sioux Falls,,,,,, SD,,,,,
322,South Bend,Mishawaka,,,,, IN,MI,,,,
323,Spartanburg,,,,,, SC,,,,,
324,Spokane,Spokane Valley,,,,, WA,,,,,
325,Springfield,,,,,, IL,,,,,
326,Springfield,,,,,, MO,,,,,
327,Springfield,,,,,, OH,,,,,
328,State College,,,,,, PA,,,,,
329,Staunton,Waynesboro,,,,, VA,,,,,
330,Stockton,Lodi,,,,, CA,,,,,
331,Sumter,,,,,, SC,,,,,
